secao,codigos
FWC Especiais,"0,1,2,3,4"
FWC - Bola e países,"5,6,7,8"
FWC - História,"9,10,11,12,13,14,15,16,17,18,19"
Africa do Sul - RSA,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Alemanha - GER,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Algeria - ALG,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Arábia Saudita - KSA,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Argentina - ARG,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Austrália - AUS,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Austria - AUT,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Bélgica - BEL,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Bosnia & H. - BIH,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Brasil - BRA,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Cabo Verde - CPV,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Canadá - CAN,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Catar - QAT,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Chequia - CZE,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Colombia - COL,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Costa do Marfim - CIV,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Croácia - CRO,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Curasao - CUW,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Egito - EGY,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Equador - ECU,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Escócia - SCO,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Espanha - ESP,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Estados Unidos - USA,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
França - FRA,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Gana - GHA,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Haiti - HAI,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Holanda - NED,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Inglaterra - ENG,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Irã - IRN,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Iraque - IRQ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Japão - JPN,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Jordânia - JOR,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Korea do Sul - KOR,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Marrocos - MAR,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
México - MEX,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Noruega - NOR,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Nova Zelandia - NZL,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Panamá - PAN,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Paraguai - PAR,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Portugal - POR,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Republica do Congo - COD,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Senegal - SEN,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Suecia - SWE,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Suiça - SUI,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Tunísia - TUN,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Turquia - TUR,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Uruguai - URU,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
Uzbequistão - UZB,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
